aladdin_id,permid,issuer_name,str_001_s,str_002_ec,str_003_ec,str_004_asec,str_005_ec,scs_001_sec,scs_002_ec,str_006_sec,str_sfdr8_aec,str_003b_ec
,4295856843,Pirie Street Holdings Pty Ltd,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
,4295858784,Just Group Ltd,OK,OK,OK,EXCLUDED,OK,EXCLUDED,OK,OK,OK,OK
R31099,4295881427,SK Communications Co Ltd,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
F83402,4295886998,Krasnoyarskaya Ges AO,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
R21644,4295889649,Ferrovial SA,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
,4295898231,Digital Unlimited Group Ltd,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
,4295898536,Innovata Ltd,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
R40859,4295913836,InterMune Inc,OK,OK,OK,OK,EXCLUDED,OK,OK,OK,OK,OK
,4295995416,Boss Manufacturing Holdings Inc,EXCLUDED,OK,OK,EXCLUDED,OK,EXCLUDED,OK,EXCLUDED,OK,OK
R90375,4296095228,Heartland Bank,EXCLUDED,OK,OK,EXCLUDED,OK,EXCLUDED,OK,EXCLUDED,OK,OK
,4296095993,Bank of Blue Valley (Pre-Merger),OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
,4296167641,Rocky Mtn Bk-BranchBroadusMt,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
,4296192146,Myer Group Finance Ltd,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
C77504,4296218603,Dubuque Bank and Trust Co,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
G59604,4296252615,Gold Canyon Bank,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
,4296353776,Bennett Petroleum Corp,OK,OK,OK,EXCLUDED,OK,EXCLUDED,OK,OK,OK,OK
,4296393449,Premier Valley Bank,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
,4296842117,Caracol Television SA,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
,4297011455,Underground Fashions Ltd,OK,OK,OK,EXCLUDED,OK,EXCLUDED,OK,OK,OK,OK
,4297193139,New Mexico Bank & Trust,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
,4297245019,SPAR Magyarorszag Kereskedelmi Kft,OK,OK,OK,EXCLUDED,OK,EXCLUDED,OK,EXCLUDED,OK,OK
,4297616026,Arizona Bank and Trust,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
,4298009640,Frank Russell Co,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
,4298052394,Banks.Com Inc,EXCLUDED,OK,OK,EXCLUDED,OK,EXCLUDED,OK,EXCLUDED,OK,OK
,4298083482,Greenstart Inc,EXCLUDED,OK,OK,EXCLUDED,OK,EXCLUDED,OK,EXCLUDED,OK,OK
I17945,4298206737,Nexus Energia SA,OK,OK,OK,EXCLUDED,OK,EXCLUDED,OK,OK,OK,OK
,5000011018,International Capital Gestion SA,OK,OK,OK,EXCLUDED,OK,EXCLUDED,OK,OK,OK,OK
,5000064117,Community Banc Corp Of Sheboygan Inc,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
,5000128484,Rockford Bank and Trust Co,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
G72660,5000154528,Leap Therapeutics Ltd,EXCLUDED,OK,OK,EXCLUDED,OK,EXCLUDED,OK,EXCLUDED,OK,OK
G45426,5000253981,Wisconsin Bank and Trust,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
,5000260377,Minnesota Bank & Trust,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
,5000585598,Illinois Bank & Trust,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
C74808,5000607935,BVBC Capital Trust III,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
,5000614939,Asset Funding Company IV Ltd,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
,5000644667,Citywide Banks (Pre-Merger),OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
E97412,5000646329,APR Energy Ltd,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
,5000648171,Bank of Blue Valley,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
,5000659976,Signature Bank (Minnetonka),OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
G16950,5000660103,Centennial Bank (Colorado),OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
F92342,5000754825,Banco de Las Microfinanzas Bancamia SA,OK,OK,OK,OK,EXCLUDED,OK,OK,OK,OK,OK
F15208,5001217429,Eversholt Funding PLC,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
,5001221785,Mopani Copper Mines PLC,EXCLUDED,OK,OK,EXCLUDED,OK,EXCLUDED,OK,EXCLUDED,OK,OK
H63339,5028675655,First Bank & Trust (Texas),OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
G15027,5038073662,Empresa de Energia Cachoeira Caldeirao SA,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
,5044187778,First Shares Inc,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
H96249,5053445359,Telus International Cda Inc,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
,5056407184,PCGH ZDP PLC,EXCLUDED,OK,OK,EXCLUDED,OK,EXCLUDED,OK,EXCLUDED,OK,OK
I16251,5056443941,Altera Shuttle Tankers LLC,OK,OK,OK,EXCLUDED,OK,OK,OK,OK,OK,OK
,5057513641,EDP Servicios Financieros Espana SA,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
I97545,5069477194,Lifefit Group Midco GmbH,OK,OK,OK,EXCLUDED,OK,EXCLUDED,OK,OK,OK,OK
J29739,5071525481,Qilian International Holding Group Ltd,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
J24168,5074084005,SPE Transmissora de Energia Linha Verde II S/A,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
L58879,5080052516,BANGL LLC,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
M13968,5083157785,Able Sewoon Co Ltd,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
,5090732546,Louis Hachette Group SA,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
